1TJrceFMGrU_114,tractor digging
1ACn3u5UnBw_30,male singing
O41WqVK8Cjw_100,playing shofar
Q_J3XkD5Ims_24,sea waves
rHD9heHSUoQ_200,playing harpsichord
GjOGszZsSj0_0,opening or closing car doors
tXDtxe4ugzQ_73,airplane flyby
-vBj0PZ1RF0_9,people clapping
GsBd9c0-Mk4_330,playing harpsichord
QGhPi_IvNyk_30,car engine knocking
iHYOaGNdweo_230,printer printing
2XFrBXTnNY8_80,dog barking
Ed3l6dxQG-Y_128,"fly, housefly buzzing"
E0gBwPTHxqE_30,skateboarding
pKG3RMK__dc_110,car passing by
TuHHUDnFSO0_96,playing castanets
N8ImCT_PxL8_70,singing bowl
RjVLYi4jQYc_43,people battle cry
j233WrRShRY_30,lighting firecrackers
H-bTMbePj0A_121,playing steelpan
5ol5kAhO2BI_0,people whistling
iTmNN9uGRfs_314,snake hissing
8nXHZjNvZwY_112,sharpen knife
DeiK0fdPv8Y_8,people booing
5YfCTKbsuHQ_30,orchestra
sfXt8h7KAHM_30,pig oinking
CSu8Bv3EY6o_40,people crowd
9mIDP_OT1uM_30,door slamming
JJMEP5noh34_110,bird wings flapping
LC4vDpnkDtM_63,bull bellowing
m6LfCI3KJNI_30,cattle mooing
d0a5UlkfV2g_264,underwater bubbling
t7NFJjYWpwo_0,otter growling
mVOTFSEEJMw_136,thunder
LTO3mhVLS4g_30,"bird chirping, tweeting"
9n5G0qFBsHM_0,ocean burbling
Al5Ks0PnV0w_49,shot football
__tbvLNH6FI_110,playing harpsichord
-rTTPoBJNI4_123,playing tambourine
fhKxzcGgIjM_5,chicken clucking
m0kxHYaGpL8_0,people whistling
UiaGn5Id5tY_4,underwater bubbling
EErujqgq1o0_30,pig oinking
rMJacNNPAYo_134,people humming
Cpwy_3wUjSc_330,child singing
XDS60G1huzQ_255,blowtorch igniting
TUjlH1HqPEE_364,blowtorch igniting
HCQZOh2faww_300,playing timpani
5akzQ9B7na8_30,people eating
QJG6m9_iLBc_182,hedge trimmer running
XQB27QPic3k_30,playing bass guitar
ebKlAIROx1c_90,people slapping
_6gpB_Trvo8_0,car engine starting
8kOQiGtnrOw_180,vacuum cleaner cleaning floors
SVJcOva0JYI_5,sheep bleating
-0pJqpNjft4_267,cow lowing
49nqh7uI9fw_30,baby babbling
fqZlpAZ4RkQ_193,chimpanzee pant-hooting
xRRtOJqB8PU_171,orchestra
j32gZWkBHUw_0,playing cello
4hd2CLrzCZs_30,"engine accelerating, revving, vroom"
bWaNlcXuGmI_270,playing theremin
ba6ArmDZjW4_314,forging swords
g4xhZgKwiNo_30,playing acoustic guitar
4GGUH7ykdCg_22,duck quacking
NnI1MoU_MT8_85,playing lacrosse
wdbIsk487Fw_100,"playing violin, fiddle"
9KxwnbkRskU_0,opening or closing car electric windows
hqh5Ve5225g_30,owl hooting
CCX_4cW_SAU_0,"subway, metro, underground"
IxBNSR_kcvI_110,lawn mowing
oOoxb4Fr65k_0,duck quacking
918pICUeEq0_118,cheetah chirrup
CIiA39U8UTw_30,fire truck siren
ShubbKmh5hQ_162,lathe spinning
NqFVTvBlxPw_23,smoke detector beeping
tXLaQKRWM8I_0,dog baying
uKlJCWLaPvg_80,playing accordion
3hZIjJKOlzI_181,sailing
pbDAz2Bi4rI_0,playing bagpipes
CD5VBM6pClk_30,sliding door
DcNVcRK4F4g_30,horse neighing
6BXR7JlTiBQ_590,coyote howling
AwZrv_S86R4_30,using sewing machines
IThCRPbXPMI_17,whale calling
ihnW25xmMWI_160,playing timpani
6Upef-zCzLM_14,snake rattling
Bqy0tD6mCPs_270,orchestra
FFSWmryaZ60_30,"engine accelerating, revving, vroom"
zAfVwdU7ARk_250,beat boxing
0LY5zuRlIac_0,playing cymbal
W3vkkSbyODo_43,playing bassoon
nfFldYRXbDM_98,playing djembe
Op2FDOmuHE8_198,metronome
aOa2KHuEPgs_137,playing lacrosse
b9_0h4gfccw_0,waterfall burbling
5kzHSZIhArw_163,"race car, auto racing"
ioj6AP00MaM_310,playing timpani
CRlC9US2Vgs_30,horse neighing
OBR-aL7YXM8_180,"engine accelerating, revving, vroom"
tixa8vD26oE_3,extending ladders
JlmUCZKjkuY_244,"playing violin, fiddle"
XzqUa_35-xs_44,pheasant crowing
JNDvDfDQnJQ_30,firing cannon
2iAO9PKZDGk_0,church bell ringing
KcV64MycgT4_0,"alligators, crocodiles hissing"
RczMLTHyBKE_250,"railroad car, train wagon"
I-Lr26bQ7nI_448,"ice cream truck, ice cream van"
rKByT8fOXpk_7,footsteps on snow
P5GxiEz81xw_25,playing table tennis
2ofK2gAQue4_180,"female speech, woman speaking"
DKX5QPMSjPQ_21,underwater bubbling
RnezOrKbCmA_120,extending ladders
Yuk_EEY8SUM_30,tapping guitar
9ge5GwYO-pU_16,rope skipping
zsZr_xJ7ECQ_29,baby laughter
hFKmJx0_Fkg_30,church bell ringing
M5gLSRO5rLE_548,playing shofar
Pi_2255ToZg_111,playing squash
Wq8zx_bIe2o_131,playing hockey
-Wsuo4VDwfE_30,chopping wood
BzMo0qCklGg_150,playing hammond organ
3R-I6lSQFe0_30,singing choir
fUNXFAJ2Dcs_13,beat boxing
l4iBXc4x-WY_4,tap dancing
euXI2Bdq52g_192,sailing
IyL7GafTLfY_30,chicken crowing
5hLkSi3BcWA_21,cat growling
36in3UXI64k_17,zebra braying
W7EC4nQ6Qqk_68,"donkey, ass braying"
L3t6q50x8JU_37,gibbon howling
vEvvRfuVk30_108,cat hissing
VeiJYltEZFc_34,playing tympani
kUvSPJkuNWE_30,typing on typewriter
NpBQ1NpljTQ_410,"subway, metro, underground"
lnxJm8OjSjE_63,rope skipping
w1h40C729DU_10,children shouting
5CffrmMy0n4_142,telephone bell ringing
ZH4YSF-i5dY_301,cat caterwauling
Vx3kxcFd5GU_22,people giggling
1fDGejVDAHU_0,chainsawing trees
1RhYdQnZ_hw_30,female singing
21Dc8a8X8qg_7,volcano explosion
BbedVdUH4LA_30,"rowboat, canoe, kayak rowing"
vIeKjpPFnGk_150,playing french horn
Ioa_O5aaEnw_408,golf driving
ylKvglDzBU4_70,playing vibraphone
Xyc8fFVR-ck_57,cat caterwauling
koUnrPY_3n8_7,cricket chirping
15pi8h_bHQE_173,cow lowing
WGqz-OVwLGs_40,vacuum cleaner cleaning floors
CmGHMSQZOVw_370,cattle mooing
a5vTn5286-A_80,skidding
YBR_3yrDwsw_44,planing timber
nmMqbo6pcTU_144,"playing steel guitar, slide guitar"
WzIeJ_yU9ys_30,people sneezing
VcJnduCJz8g_29,popping popcorn
2ZNKLUHeJtg_30,playing cello
hVG4p9QJHk0_30,sliding door
przrSPZgOkY_90,thunder
HGE4FaX-Roc_9,cat hissing
n9PJa0BvCLc_16,missile launch
1pMMz2vm6JE_2,running electric fan
58zENxTDTjk_30,people eating
mFnSuE0zskc_0,black capped chickadee calling
AJRD-zU2Akw_0,lighting firecrackers
xc0092TjO14_63,zebra braying
z5-LFayciG8_247,air conditioning noise
PuNLqr0oZeo_170,baby laughter
JHi0b3OtazQ_1,cuckoo bird calling
KYnOCgdquQU_345,airplane
ypOiMHz2Lz0_0,bathroom ventilation fan running
kpNBSTCVEx4_82,"playing violin, fiddle"
zk4YZ_mbx2c_12,playing tennis
xQ9L6b633Ac_69,police radio chatter
A7DQjMwCtI8_270,car passing by
h_hwxcgSr3g_65,"donkey, ass braying"
6jAZGb8k6tE_90,baby laughter
TnZ7lewZgns_44,volcano explosion
C4GudvmdUHI_101,metronome
mv_YCUYtGaA_408,playing bass drum
SHkCnBJoZkc_10,magpie calling
rYmiCpCbsm0_20,bird squawking
6yAVCOMXo1I_522,cheetah chirrup
a_ruWnMK1MA_350,"bird chirping, tweeting"
f21nIJCYy1s_0,playing bagpipes
J5q9wLnXFh8_206,playing bongo
LoRLOQaZU48_90,airplane
VaqR7OOMHSM_33,cat hissing
-PyXfNxnHKs_110,eating with cutlery
_mB-DrTf79o_130,lawn mowing
yNqzpXyIB1o_30,door slamming
cPgO0qGByu0_10,people sneezing
qhvy5UeP_fk_7,chipmunk chirping
qcBV8r9ADAw_108,mynah bird singing
G4fTKotMoWI_30,playing acoustic guitar
IBGfcPIw-KY_0,dog howling
DcU6AzN7imA_210,reversing beeps
g2at4AqJsqk_142,dog growling
DVDQyIt56nQ_200,child singing
pJaLxsCM7rc_190,fire truck siren
0Br877mW7_c_10,blowtorch igniting
YzCK7OtGzqs_10,people sobbing
PHNkzsSrofY_214,dog bow-wow
dIzQVYDYtKA_85,tap dancing
2gvw16YDwMA_43,cat caterwauling
2XR54m3kvn8_370,mouse pattering
vuYE5G1C9MQ_25,playing bassoon
kUR6_bQLU-E_154,plastic bottle crushing
ElgXgJjGZbQ_110,people babbling
IMQtdwaG8I8_101,forging swords
5cLSNZnswP0_72,sloshing water
IevRzGh8uMs_134,train whistling
YbZXTk6NgTo_30,"rowboat, canoe, kayak rowing"
FpsBLinFYik_12,police car (siren)
YJWBh32A8N0_97,air conditioning noise
tA_NrYVTlps_24,horse clip-clop
6lKfA9uzMOU_26,female singing
eWsnTX9zkHI_530,playing drum kit
bU2DcKTehgo_240,skateboarding
XRfi2Lx5wRY_20,ice cracking
yhHrykiPP-s_288,underwater bubbling
LaGXHHzobMA_12,crow cawing
QnR9JhVGgu8_348,car engine idling
-0yRK50zyTI_30,fire crackling
twvjW7ymUIQ_4159,cat purring
gpvYlHv1Ra4_300,rapping
UIll96Hdmd4_94,parrot talking
145N68nh4m0_130,police car (siren)
psbURlY7H2g_85,pheasant crowing
kOheqjodDmw_50,people coughing
rjYPJUBcoN8_33,"donkey, ass braying"
_PR74a-PN6s_30,chopping food
DoPxrS9KYB0_490,singing bowl
3ptxRyVuU0w_520,machine gun shooting
zQ6QCEz5fPU_57,playing table tennis
BmS2NiuT2c0_160,train wheels squealing
pBVTBsWiHdk_63,playing mandolin
kgf4GdKlSWs_30,playing ukulele
5uanE7YxW0E_0,zebra braying
GYDqNjRzkKM_145,car engine idling
Ysrlv2UlG8A_30,playing synthesizer
0_9-dbUW0hU_30,playing theremin
_OocUoF31oE_59,playing tambourine
PlEkvxhtZwc_150,bird squawking
H0MTqgT8UkU_110,ocean burbling
0GBi8uR4ZeM_7,playing bassoon
BxwBO7QkroA_80,fireworks banging
UjQHWBPbySQ_87,people slapping
RplzKlSlbR0_23,people booing
XT4XDJR-HtQ_57,air horn
PYOPQuhdoQM_366,playing bassoon
DMbLpqQlYjc_30,using sewing machines
OxPfSWirUtk_16,planing timber
k0YT5ZNdXj0_280,roller coaster running
h5gvpYSIifs_80,"playing marimba, xylophone"
PgLsFRfKMwU_58,canary calling
GXuqtCdONDs_91,playing bassoon
qAQuljp-atA_30,driving motorcycle
Tb2KyzcQoJE_0,door slamming
cuINEhfQW98_289,ice cracking
VTgf0Jqlqh4_38,chopping wood
WFjx0sH7mlc_20,bird squawking
RSPZSkLWsH4_252,sheep bleating
cIHmmSm947Q_0,people finger snapping
IIKc_1iCxMQ_14,playing bassoon
Ovm9kLKgLww_120,car engine idling
Mp_87MQx6Ms_40,mosquito buzzing
LZJmNr8L5d0_200,pumping water
WeBPE7xdTH4_12,chicken clucking
4_6e0icNw7Q_182,disc scratching
HU7oqkJeItQ_0,playing ukulele
wv7lLolLuo0_55,dog baying
nLzSz0qDT68_10,police car (siren)
qGcLhHbGrIg_0,playing theremin
cfsOIuZ9G9k_52,playing bongo
oIgPIGUQ8yY_30,playing trombone
FndCEC7yK2g_104,airplane flyby
ip6sz3xorFo_10,people farting
AucZQ-hal9U_13,firing muskets
c1prFYuA4LM_416,ripping paper
BiEt6Hc62go_0,crow cawing
E2DcawleYIY_30,playing electronic organ
N6e5C5sXdBI_0,dog howling
Q19VErS2iH4_20,basketball bounce
iY6gP4y8Shk_10,people hiccup
HK6HLZqAe9I_142,people battle cry
gfVNNXPbkW8_30,goose honking
AlqCbPTpKUg_19,ice cracking
dCcCTlI_neI_722,lip smacking
oHg0VLFSvJ8_390,singing bowl
exFt4zkc75o_12,chinchilla barking
UWizNEHrzCY_17,dog barking
3mkiTkMVemM_30,"motorboat, speedboat acceleration"
cj3VU7koYZg_30,chopping food
garZ8KkuBds_220,"vehicle horn, car horn, honking"
FMr1WHtXJbc_30,tapping guitar
XS_Nwd8dxE0_30,"bird chirping, tweeting"
pCo0zDiq5nM_30,pig oinking
feC0L9MtghM_190,playing sitar
V5xL8hLFY58_30,playing mandolin
O7-ggV4SQRs_30,helicopter
oqCoWD5LptA_1,bathroom ventilation fan running
mjhlzNVpnXs_26,air horn
1DrrBnFlylU_0,people eating apple
BuK7qr_TY3g_100,train horning
LX45Unyyosw_108,playing badminton
gGhgsrlwkaw_69,people whistling
tMzxjJygrH4_2,playing table tennis
jHSWbKDx1Ms_30,basketball bounce
8s2sjbnkhQw_1145,blowtorch igniting
TxEAwc91Qos_200,thunder
U-L9YCIdLbg_80,playing electric guitar
au036eve4s4_30,raining
S3oZrMGDMMw_10,people coughing
2LRhkMH48_Q_30,"motorboat, speedboat acceleration"
7c-hiuqSxu8_50,people burping
7R8QaecvJzA_30,stream burbling
oSeytBzkBuA_30,people eating
s6ZrQ73zxdw_131,playing tympani
OOzxHnmlNhA_17,parrot talking
Bz3F3488Ypc_238,"race car, auto racing"
68434cPXxmU_580,eating with cutlery
7PEL4NrU1Jk_23,cattle mooing
LO29f7oGgmo_158,bowling impact
ihQiGrQMR3U_6,air conditioning noise
WY73T0xaY0A_180,playing theremin
jtlOOOTpZYM_263,arc welding
qagXyeXI9TM_879,forging swords
WR83qQPQSoE_200,train horning
_Y72X_nfo78_13,people booing
WkHPQPozDRs_150,people running
qhOaqSH-x5E_30,bird wings flapping
8a0Ctyt3Fpo_270,"railroad car, train wagon"
BO555bbZkDw_550,playing vibraphone
h0vsyCyimhY_155,people eating crisps
igTZmll9MN8_21,firing cannon
3ClbaJYWVO4_30,playing electric guitar
qP7us0v_mAY_40,people running
FHhZzDbLmw0_16,snake hissing
RQvbm3l3wmA_110,playing drum kit
mWyeVsIIUGs_19,yodelling
-jA7nRwQp_E_30,orchestra
jS93Dp3LPSY_0,playing saxophone
99VNZPt2MIs_126,elephant trumpeting
o1T_hzWDymk_254,mynah bird singing
vpyjAR_k70Y_66,car engine starting
K3dENGPyIqc_50,playing hammond organ
9YSvwsbk9Dw_40,waterfall burbling
44wxFq7DWFg_612,playing hockey
TKxGWjvYmT8_200,sliding door
qMbGFWz9who_20,people sobbing
fFX04tOPv8s_0,dog whimpering
aJpAmCQy3HY_57,train wheels squealing
yKKMhxuHcJ4_41,telephone bell ringing
EjRiXLPEkwo_25,playing glockenspiel
VLNKqrVmD9g_30,"female speech, woman speaking"
XdVvgmBei0c_0,church bell ringing
1KLmIS-v60U_10,"railroad car, train wagon"
svnqpdO-7fc_66,chinchilla barking
iUtE4nRvBsM_40,people coughing
Xp-u8qRkJZA_14,bull bellowing
-IZbvEO9wzU_30,female singing
wSCbYNNeBhc_50,mosquito buzzing
zMBLINM7_hY_243,playing tympani
Hg68OTpBIsg_70,playing bagpipes
SrYqJlCuppA_130,waterfall burbling
cG6OF9vcGPE_81,people humming
2GGNgvdRcAs_60,sliding door
Rg971GlT_Ro_21,"pigeon, dove cooing"
9-R70gSqvrc_30,playing banjo
ewBeGq4yWBE_31,playing snare drum
6yaFDZk7-jo_8,playing bass drum
8BWcP2uUzpo_107,people humming
vFYyKpv9LfQ_209,planing timber
SwZxKE3CnEg_80,bird wings flapping
mxy5qcJckDQ_195,playing bass drum
1yWGmdevTuM_30,playing didgeridoo
HNEGSr6z4oQ_591,people marching
1DlGh4su-Ms_25,running electric fan
W_WQY6-4hWY_20,people sobbing
Gsvye6sfO88_570,opening or closing drawers
kOHIIEOam_8_0,roller coaster running
Ajl5A3YbR88_120,playing timpani
0474eRAlFLY_30,playing bagpipes
9kFZhnbKUXo_30,people belly laughing
T7fsXVDXFQo_300,playing erhu
84b7NrzJWiI_420,police car (siren)
GglIHiqClGM_30,playing timpani
0G50t4FlbIA_60,people screaming
91vBzCaNTQ0_79,"playing violin, fiddle"
TBCKVIvh7Ug_30,fire crackling
-r3nM90RCNs_161,sharpen knife
n7QAOoPX6yw_3,playing glockenspiel
cOPRJb3sKCo_106,people nose blowing
NEGXDnMhd5A_40,splashing water
lcGYtyHeKR4_55,wood thrush calling
1_Yd3NwpP7M_210,singing bowl
cv901tRE0rQ_30,cat caterwauling
n-1ho8xiSGU_2,beat boxing
g3JUdaGVCLk_30,goat bleating
4U4KzdRI3Gk_0,foghorn
RybkZKoNc0s_30,people clapping
Rc_U7B4FL14_90,pumping water
6S7dV98ty_w_422,opening or closing car doors
cHAKzHAZPs0_110,playing bugle
wGJljLdNCag_5,cutting hair with electric trimmers
CXISjTeWfTE_200,cap gun shooting
_qL20ImF8bE_47,people giggling
MQtUV_cFcm8_20,typing on computer keyboard
EsoKL_41uOc_23,door slamming
_xXjtC5N1-Q_30,"rowboat, canoe, kayak rowing"
GQPPtMdnCFA_18,eagle screaming
C1ZHFE6tU7o_30,sliding door
h1LxMPb7WD8_85,playing castanets
FoUk5_00P9o_3,forging swords
2ASyuuVhr6M_52,cat hissing
uPUk0gCy-OA_84,children shouting
8hT_Cg551_0_30,goose honking
Ckry8_o74DU_30,car engine knocking
MaaPWkNBhR8_44,car engine idling
eayGg2OlHOw_10,playing piano
FO0u1akOwOM_0,playing badminton
ZHksjiNWM-0_30,lighting firecrackers
MVRUgCHoGg4_43,woodpecker pecking tree
-zSyfcXmHdk_1083,"ice cream truck, ice cream van"
hRdkmwuv13s_220,fire truck siren
GSTxgr6KkFs_22,fire crackling
93vN8AS4jHY_67,police car (siren)
9WtK0gh4ugE_30,ambulance siren
qwSnmaIdhWY_12,fox barking
ucNLu7zH3Qc_470,typing on computer keyboard
URosKU18wTk_18,squishing water
2K0NKi1wigk_340,toilet flushing
7HF6OiDKaQA_232,chipmunk chirping
e_ySE_yqUyg_130,"electric shaver, electric razor shaving"
I1GC1yWdM_c_30,cat caterwauling
mx0fKYM90vQ_30,mouse squeaking
uegvMPjZizA_10,people running
v94qdpJqK9w_30,firing cannon
9cYVBOJmXIw_30,"male speech, man speaking"
VwaLVY1oF6k_26,dog whimpering
IeapE3z-v3Q_129,playing bass drum
_cES7Twcq18_6,playing cornet
RyAJMDDxNBQ_70,cap gun shooting
GjoBV2mf8jo_80,playing castanets
3_mv3UWGkt0_11,playing glockenspiel
93iKhilUKHo_20,playing zither
GmIZBYNqyT0_10,eagle screaming
JixXL5s6fnE_70,whale calling
21I0YiLHzvg_38,opening or closing car electric windows
usfT2KJQhAc_15,foghorn
2DyD824KPFM_10,cricket chirping
pSzTPGlNa5U_30,playing theremin
sn3Sqa4nRtA_30,people sniggering
hDIziLujP38_160,people eating crisps
6DwlcJyDyxc_290,playing drum kit
NRa8ZJfoPl8_60,opening or closing drawers
rCRvOly0FY4_45,firing muskets
FjeBeV_0-aE_30,playing zither
59bFleb7qQA_10,church bell ringing
6utponLXbo4_11,tap dancing
Y0zPnwGCSw0_14,fox barking
8VoDhx0Zsxc_30,"bird chirping, tweeting"
Fy0aCDmgnxg_540,playing vibraphone
B7iRvj8y9aU_30,"playing steel guitar, slide guitar"
wMLgi-rb6UM_0,playing steelpan
B5u3PG7PWDE_30,toilet flushing
bAJrcYJgllE_30,playing synthesizer
MF88IYF2MHY_0,cat caterwauling
bLuhbrcpvEw_25,writing on blackboard with chalk
TS7NsVkl3P4_261,mynah bird singing
Y6w2drYRvg8_37,shot football
tFUIVRLXD68_30,cat purring
-7YESdyyHVw_10,"cattle, bovinae cowbell"
m3MbWYWyH7U_0,people sneezing
b0KSxH37gVE_100,dog bow-wow
2ACsPTob5cY_118,snake rattling
NpGTa9fRvUU_30,lawn mowing
kKqIgmARIoA_30,owl hooting
DK_6C29B2zs_14,ambulance siren
Rdu3_LWIlgE_400,"railroad car, train wagon"
IeapE3z-v3Q_74,playing bass drum
ocU-q__LOQc_48,foghorn
xhHSvaKKDCY_486,coyote howling
nhe959Sn-JU_9,otter growling
2nvQdsMdQ6o_0,"fly, housefly buzzing"
NQ6KHDqUyDA_270,machine gun shooting
zktc6NQrZ_8_130,playing flute
rVlc15B6v-s_15,playing tuning fork
SmpsJhL4yUY_130,playing cymbal
zShgXCOA8hQ_276,electric grinder grinding
MpWGx5odhh8_160,playing banjo
DCftdpZ9lIs_162,dinosaurs bellowing
DCrct29xGEY_30,lions roaring
GN6kEiASxaE_30,basketball bounce
L91DeeZZYnU_42,people slapping
NhWhPUIeSLM_5,hail
HIT2YWOALto_2,dinosaurs bellowing
Ubmh-lOoe3Y_10,baby babbling
Hpqueb0nov4_141,firing muskets
fi_Z6DdOqwU_30,rapping
73jyWz6o3X4_130,people crowd
rLmNuF9xTPI_30,typing on computer keyboard
-T8L4SVm3u0_1,footsteps on snow
u6tEkAjSBQg_0,playing zither
hnpnc72pQOQ_677,police car (siren)
GBifExKnaWI_12,opening or closing car electric windows
I2KxGucsrHw_30,"rowboat, canoe, kayak rowing"
LJbM0DMRM4Q_0,horse clip-clop
cK5aT07gOis_151,"playing steel guitar, slide guitar"
dWM_a65_MrQ_54,playing table tennis
1tobDIRRV0A_30,crow cawing
BlLPTLJfJv8_30,sloshing water
Hf-uMkF-gyA_296,playing drum kit
jQK1Dv2ZbaY_63,bouncing on trampoline
Q4cVLAbRVDc_45,wind chime
6lXlJ9H2p28_44,car engine starting
1hwkxJOl1PY_20,lions roaring
1YFa9CpH7Kc_180,"cattle, bovinae cowbell"
3Pfu7BPWvL8_36,children shouting
chP180PR-9g_41,cat growling
cocA3THl4S0_40,eagle screaming
IBnelTCAXKg_270,people crowd
LAOf7hEPxTA_30,playing tabla
eV5JX81GzqA_150,skidding
wGHq188CAs4_90,sharpen knife
Pair_NsHdTc_30,driving motorcycle
B-ABbng7Zo4_508,barn swallow calling
nSMZD-CIi30_44,gibbon howling
HxUeK66pSYY_56,disc scratching
LGrpsZ7BsQA_30,duck quacking
AAdciXShS1c_19,parrot talking
mF6mWHFxd6w_30,people babbling
1obzCbmFpa8_410,people giggling
rTBQmP6Vt0g_10,playing steelpan
U8b_M6pMv8s_360,car engine starting
cTsXnOrhupA_81,train whistling
POuhGn61ZR8_350,raining
RGbFZcXDZJw_8,slot machine
G1OlHEvPRT8_30,wind rustling leaves
hvQMOTh-fSM_30,typing on typewriter
O0sDg-yLvlE_30,playing mandolin
lKkW2wWkSJE_111,airplane
vgYIAjacUW4_90,duck quacking
vh8Uh1zTLQw_58,bull bellowing
WcPOGKf6RE8_110,people babbling
JwhuPQxlCpg_30,toilet flushing
9a3zqFrIeGI_76,swimming
aajx_w7vgjA_3,cat growling
-pBFsYisTCM_10,playing vibraphone
SmuyUnEZaJw_30,crow cawing
ALVS3Q_jNaU_30,playing electric guitar
W-LNBuU1e-M_170,people eating apple
Ni_RNKhQ47k_136,magpie calling
ofaRUcJoAkg_4,footsteps on snow
SFMXcbyHbF0_11,turkey gobbling
pxEmmUYLHrE_30,playing mandolin
rflXOdLx4t8_70,plastic bottle crushing
W-7iKuidOeg_10,cat growling
51nfpGY_AJk_80,people whistling
4enilF4pEko_0,mouse pattering
Hpqueb0nov4_270,firing muskets
JbPNmYKs7P0_48,"male speech, man speaking"
XkwleyFCBrI_180,"ice cream truck, ice cream van"
4B0XlqLPFQI_330,playing gong
iZpuOn86PYI_10,playing tabla
9QjGgc1UkkU_44,playing congas
pdXr166xPeU_240,lighting firecrackers
Rz7RBslEAG0_30,playing accordion
3IwOig7sw6c_30,chainsawing trees
l3abwXzDR1g_30,playing electronic organ
1y-PYHnpvZs_38,ferret dooking
DPpmV4JqYsM_30,goat bleating
12C-RCb6UFw_430,"subway, metro, underground"
8XMRqVKcojU_347,forging swords
HGlv3xtLnTs_24,people booing
p3GTteKGw18_90,cuckoo bird calling
hyCUZWKWGR4_30,playing banjo
-mKtgDnG0oM_30,female singing
NuD6d2B3QvA_550,dog barking
7xkj4XqaynU_2,crow cawing
_-UGWlp0IG0_150,people whistling
lJSwhBfEdyA_79,cow lowing
j1JUsTMZcuY_4,people giggling
9THW8yB2ElE_47,air horn
DvhVUf2EPzs_30,singing choir
o8uxxMXuhZ8_30,people sniggering
HyqNo624chI_114,gibbon howling
YqvKDLbboxE_27,parrot talking
E1I6LhzVPVw_132,beat boxing
IA09qnlMgQU_58,cutting hair with electric trimmers
rq4oQdSxrnI_79,airplane flyby
8ERVM9Uv6hk_102,tap dancing
ioBOW6ynH28_10,playing cello
aF399DNTMlo_8,ferret dooking
19_c58yNYVw_10,thunder
1W9fwoe4O-M_117,child singing
aISujlXZako_27,gibbon howling
9_eXYyA8N18_530,"child speech, kid speaking"
HhvCh6gOZS8_372,cat hissing
I3izYHSgVTQ_570,"railroad car, train wagon"
ny0RU5o_A_4_0,scuba diving
Uka_Qhmi9cY_37,zebra braying
AABgGgkXH94_30,"female speech, woman speaking"
6BlGk51vrbY_275,coyote howling
3otUlQ4wvLY_30,male singing
DcMUa81JfBE_10,dog baying
3hLxPQpmfQo_30,skidding
IfsB-8hbcL8_30,people whispering
Ms9NR9_hCuY_38,playing bass drum
Wh_g-Eiw9Kc_10,child singing
_dlpgziE7CU_10,"cattle, bovinae cowbell"
HylhATL_Sek_30,wind rustling leaves
eukogoPpK8U_30,mouse pattering
4t-WdXW3rYs_200,goose honking
hp6DMIi3CNI_54,writing on blackboard with chalk
gBRTGtmHZW0_154,slot machine
q5TtDc6RKiQ_56,baltimore oriole calling
ZZ_rDlqB9YM_207,firing muskets
BBukw6JpCeg_70,chainsawing trees
kwPl5Nrc1zs_212,cutting hair with electric trimmers
bDdf_ft5rb4_30,dog howling
DV1C1XbdG7A_220,playing harmonica
EXEYAlExz_o_67,hedge trimmer running
eQ8CMCLS5rY_550,using sewing machines
D668Jl6zuAk_190,"child speech, kid speaking"
dPM24O4my-Q_0,skidding
snR9TvRupjU_0,cat caterwauling
Exbj4bv62eQ_60,dog baying
vhyVvH6FPYI_56,playing bassoon
Kp_F7FrKrSc_210,playing trumpet
SiXCZ-Ew0b0_50,playing piano
B33GgQddG30_28,dinosaurs bellowing
C2BFL4F6zOM_62,rope skipping
4A3_lLVLpUg_340,helicopter
OZYy9dr0kGU_23,chopping food
10YXuv9Go0E_140,skateboarding
68yGxMsldpY_3,canary calling
sS2GJNAXeWc_30,"pigeon, dove cooing"
BlhUt8AJJO8_30,skateboarding
RIQzc8Gx0q4_26,electric grinder grinding
Z8Yv_QKOS1E_46,metronome
hwSuNTGOaZc_30,"pigeon, dove cooing"
bDN1mAaexyE_180,people babbling
42QgE4mM55I_30,male singing
tGUWSgewh0A_270,playing bass drum
c3Fd0b7PLz4_198,playing hockey
xFFcIDc2c1w_4,extending ladders
xUh3zW3bkNU_5,police car (siren)
VazP0kjlliA_34,hammering nails
2WfJBpN4elI_20,pig oinking
D8BQyUNbIps_116,running electric fan
nfitcQXx-Y0_58,gibbon howling
I2bn465QJgI_290,opening or closing drawers
EMGNyRa5pEc_280,"playing marimba, xylophone"
9uOOfuRD6Fc_70,"railroad car, train wagon"
uKqFWsVI250_71,airplane
wFOgHXUWFFM_7,playing tuning fork
cRTOP_vJihU_273,strike lighter
-kPDH9n0PG4_310,"railroad car, train wagon"
9BIA1d9MOlA_30,horse clip-clop
rf3ye_WX4Ic_80,shot football
6qhJaGa5JmQ_30,playing clarinet
TAexBL5eToE_52,playing washboard
UNYAVwZc2pU_37,cat hissing
m0ZXviXIW4U_114,tornado roaring
XyIAPpcvVro_0,people sneezing
KR5Iu9gyLXo_30,playing bagpipes
6MasocIBqaE_24,foghorn
5tM4bPM6E_w_70,cat purring
A-AoGf9gIW8_521,people battle cry
fZsd2XIqeKs_0,playing trombone
bO6gUBBcniY_30,people clapping
gWUiWpxDBH0_0,baltimore oriole calling
